image_id,size,layer_mode,method,tau,transform,transform_family,base_count,transformed_count_after_inverse,matches,precision,recall,f1,localization_error_bbox_diag
akd_0374,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,2,2,2,1.0,1.0,1.0,0.046604817433803424
akd_0374,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,2,3,2,0.6666666666666666,1.0,0.8,0.035650607980174664
akd_0374,728,last,feature_hdbscan_medoid,0.0,translate,geometric,2,2,1,0.5,0.5,0.5,0.029357682561300977
akd_0374,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,2,2,1,0.5,0.5,0.5,0.0
akd_0399,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,2,2,0,0.0,0.0,0.0,nan
akd_0399,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,2,2,0,0.0,0.0,0.0,nan
akd_0399,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,2,2,1,0.5,0.5,0.5,0.0
akd_0399,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,2,2,1,0.5,0.5,0.5,0.005397205355446279
akd_0399,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,2,1,0,0.0,0.0,0.0,nan
akd_0399,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,2,3,2,0.6666666666666666,1.0,0.8,0.027689745265847762
akd_0399,728,last,feature_hdbscan_medoid,0.0,translate,geometric,2,2,1,0.5,0.5,0.5,0.010094281864917816
akd_0399,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,2,2,2,1.0,1.0,1.0,0.0
akd_0304,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,4,5,1,0.2,0.25,0.22222222222222224,0.001100594294270134
akd_0304,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,4,5,0,0.0,0.0,0.0,nan
akd_0304,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,4,4,4,1.0,1.0,1.0,0.0
akd_0304,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,4,10,1,0.1,0.25,0.14285714285714288,0.016835076565695512
akd_0304,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,4,7,3,0.42857142857142855,0.75,0.5454545454545454,0.024203345044353668
akd_0304,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,4,5,3,0.6,0.75,0.6666666666666665,0.025853174472572647
akd_0304,728,last,feature_hdbscan_medoid,0.0,translate,geometric,4,8,2,0.25,0.5,0.3333333333333333,0.018532193293373665
akd_0304,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,4,4,3,0.75,0.75,0.75,0.0
akd_0037,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,7,6,2,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.008804754354161072
akd_0037,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,7,5,2,0.4,0.2857142857142857,0.3333333333333333,0.030130053839348178
akd_0037,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,7,6,2,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.0
akd_0037,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,7,11,1,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.007471594441727453
akd_0037,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,7,9,3,0.3333333333333333,0.42857142857142855,0.375,0.016997847489400166
akd_0037,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,7,6,3,0.5,0.42857142857142855,0.4615384615384615,0.03361614291459222
akd_0037,728,last,feature_hdbscan_medoid,0.0,translate,geometric,7,7,3,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.015457548105010788
akd_0037,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,7,6,2,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.0
akd_0172,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,5,6,2,0.3333333333333333,0.4,0.3636363636363636,0.01184145058737501
akd_0172,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,5,8,1,0.125,0.2,0.15384615384615385,0.014872715736162832
akd_0172,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,5,5,4,0.8,0.8,0.8000000000000002,0.0
akd_0172,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,5,6,1,0.16666666666666666,0.2,0.1818181818181818,0.03444949878354331
akd_0172,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,5,9,2,0.2222222222222222,0.4,0.2857142857142857,0.03440868100505565
akd_0172,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,5,5,1,0.2,0.2,0.20000000000000004,0.009883849072883212
akd_0172,728,last,feature_hdbscan_medoid,0.0,translate,geometric,5,6,2,0.3333333333333333,0.4,0.3636363636363636,0.019535426336739742
akd_0172,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,5,5,5,1.0,1.0,1.0,0.0
akd_0302,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,4,3,1,0.3333333333333333,0.25,0.28571428571428575,0.04768254126709913
akd_0302,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,4,5,1,0.2,0.25,0.22222222222222224,0.03763089773871079
akd_0302,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,4,3,2,0.6666666666666666,0.5,0.5714285714285715,0.0077041600598909375
akd_0302,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,4,13,1,0.07692307692307693,0.25,0.11764705882352941,0.04562211355503204
akd_0302,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,4,4,1,0.25,0.25,0.25,0.02864065597120043
akd_0302,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,4,4,1,0.25,0.25,0.25,0.04178025422749726
akd_0302,728,last,feature_hdbscan_medoid,0.0,translate,geometric,4,4,1,0.25,0.25,0.25,0.04834972741407762
akd_0302,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,4,4,4,1.0,1.0,1.0,0.01089532764339088
akd_0156,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,5,5,1,0.2,0.2,0.20000000000000004,0.03191723453383388
akd_0156,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,5,6,1,0.16666666666666666,0.2,0.1818181818181818,0.044176380658751714
akd_0156,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,5,5,4,0.8,0.8,0.8000000000000002,0.0
akd_0156,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,5,10,2,0.2,0.4,0.26666666666666666,0.038755905190874636
akd_0156,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,5,9,3,0.3333333333333333,0.6,0.42857142857142855,0.024203345044353668
akd_0156,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,5,6,2,0.3333333333333333,0.4,0.3636363636363636,0.020554100050153668
akd_0156,728,last,feature_hdbscan_medoid,0.0,translate,geometric,5,5,1,0.2,0.2,0.20000000000000004,0.029744044917662398
akd_0156,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,5,4,4,1.0,0.8,0.888888888888889,0.0
akd_0052,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,7,11,4,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.03714393896452652
akd_0052,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,7,10,1,0.1,0.14285714285714285,0.11764705882352941,0.011572176418487503
akd_0052,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,7,8,5,0.625,0.7142857142857143,0.6666666666666666,0.01766099350811801
akd_0052,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,7,10,5,0.5,0.7142857142857143,0.588235294117647,0.026310019740435595
akd_0052,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,7,11,3,0.2727272727272727,0.42857142857142855,0.33333333333333326,0.037457413537536365
akd_0052,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,7,9,3,0.3333333333333333,0.42857142857142855,0.375,0.03029650734972826
akd_0052,728,last,feature_hdbscan_medoid,0.0,translate,geometric,7,8,2,0.25,0.2857142857142857,0.26666666666666666,0.04093607836544946
akd_0052,728,last,feature_hdbscan_medoid,0.0,contrast_125,photometric,7,8,6,0.75,0.8571428571428571,0.7999999999999999,0.0
akd_0238,728,last,feature_hdbscan_medoid,0.0,flip_horizontal,geometric,4,5,2,0.4,0.5,0.4444444444444445,0.03279672286931546
akd_0238,728,last,feature_hdbscan_medoid,0.0,rotate_10,geometric,4,5,0,0.0,0.0,0.0,nan
akd_0238,728,last,feature_hdbscan_medoid,0.0,brightness_075,photometric,4,4,3,0.75,0.75,0.75,0.0
akd_0238,728,last,feature_hdbscan_medoid,0.0,rotate_minus10,geometric,4,6,1,0.16666666666666666,0.25,0.2,0.03388102436615059
akd_0238,728,last,feature_hdbscan_medoid,0.0,scale_090,geometric,4,4,1,0.25,0.25,0.25,0.03731305035789837
akd_0238,728,last,feature_hdbscan_medoid,0.0,scale_110,geometric,4,6,1,0.16666666666666666,0.25,0.2,0.0436183346423982
akd_0238,728,last,feature_hdbscan_medoid,0.0,translate,geometric,4,4,1,0.25,0.25,0.25,0.03661348876545603
